id,título,gênero,diretor,ano
1,O Poderoso Chefão,Crime,Francis Ford Coppola,1972
2,Interestelar,Ficção Científica,Christopher Nolan,2014
3,Parasita,Thriller,Bong Joon-ho,2019
4,Forrest Gump,Drama,Robert Zemeckis,1994
5,Matrix,Acão,Lana Wachowski,1999
